"Lastname","Nation","Sherpa","Gender","Y"
"Pema Temba (Pemba Temba)","NEP","Sherpa","m","1993"
"Selland","USA","","m","1993"
"Moti Lal Gurung","NEP","","m","1993"
"Ang Chumbi","NEP","Sherpa","m","1993"
"Ang Dorje Ii (Chuldim Dorje)","NEP","Sherpa","m","1993"
"Arnold","NZ","","f","1993"
"Gluckman","NZ","","m","1993"
"Gustafsson","SF","","m","1993"
"Hall","NZ","","m","1993"
"Norbu (Nurbu, Nuru)","NEP","Sherpa","m","1993"
"Groom","AUS","","m","1993"
"Lobsang Tshering Bhotia","IND","","m","1993"
"Apa (Appa)","NEP","Sherpa","m","1993"
"Berg","USA","","m","1993"
"Chuldin Temba (Chuldim)","NEP","Sherpa","m","1993"
"Dawa Nuru I (Da Nuru)","NEP","Sherpa","m","1993"
"Dufficy","USA","","m","1993"
"Helenek","USA","","m","1993"
"Lowe","USA","","m","1993"
"Sutton","CAN","","m","1993"
"Vitkauskas","LIT","","m","1993"
"Yanochkin","RUS","","m","1993"
"Bashkirov","RUS","","m","1993"
"Dolma","IND","","m","1993"
"Kutiyal","IND","","f","1993"
"Lobsang Jangbu","NEP","Sherpa","m","1993"
"Martolia","IND","","f","1993"
"Nga Temba Ii","NEP","Sherpa","m","1993"
"Nima Dorje I (Dorje)","NEP","Sherpa","m","1993"
"Sharma","IND","","f","1993"
"Sharma","IND","","m","1993"
"Tenzing I (Tenzen, Tenzi)","NEP","Sherpa","m","1993"
"Thakur","IND","","f","1993"
"Agirre","E","","m","1993"
"Ang Rita","NEP","Sherpa","m","1993"
"Jangbu I","NEP","Sherpa","m","1993"
"Oñate","E","","m","1993"
"Zerain","E","","m","1993"
"Brown","USA","","m","1993"
"Harris","USA","","m","1993"
"An","SK","","m","1993"
"Kaji (Pasang Kami)","NEP","Sherpa","m","1993"
"Kim","SK","","m","1993"
"Park","SK","","m","1993"
"Ang Phurba Ii","NEP","Sherpa","m","1993"
"Pujante","E","","m","1993"
"Dorje Ii","NEP","Sherpa","m","1993"
"Durge Bahadur Tamang","NEP","","m","1993"
"Phinzo I","NEP","Sherpa","m","1993"
"Rabold","USA","","m","1993"
"Sinclair","USA","","m","1993"
"Koroteev","RUS","","m","1993"
"Ang Pasang I (Pasang Nuru)","NEP","Sherpa","m","1993"
"Kami Tshering (Ang Chhiring)","NEP","Sherpa","m","1993"
"Stephens","UK","","f","1993"
"Cadiach","E","","m","1993"
"Stelfox","IRE","","m","1993"
"Bernard","F","","m","1993"
"Cayrol","F","","m","1993"
"Dawa Tashi I","NEP","Sherpa","m","1993"
"Gramond","F","","m","1993"
"Gyalbu","NEP","Sherpa","m","1993"
"Panuru (Pasang Nuru, Pa Nuru)","NEP","Sherpa","m","1993"
"Park","SK","","m","1993"
"Bell","UK","","m","1993"
"Blanco","E","","m","1993"
"Dorje I","NEP","Sherpa","m","1993"
"Harrison","UK","","f","1993"
"Hoyland","UK","","m","1993"
"Mcivor","UK","","m","1993"
"Nga Temba I (Ngatemba)","NEP","Sherpa","m","1993"
"Pasang Kami I","NEP","Sherpa","m","1993"
"Pfisterer","USA","","m","1993"
"Oiarzabal","E","","m","1993"
"Ongda Chhiring (Ongda Tshering)","NEP","Sherpa","m","1993"
"Berbeka","POL","","m","1993"
"Lhakpa Nuru I","NEP","Sherpa","m","1993"
"Estève","F","","m","1993"
"Giot","F","","m","1993"
"Nima Gombu (Gombu)","NEP","Sherpa","m","1993"
"Norbu (Nurbu, Nuru)","NEP","Sherpa","m","1993"
"Ang Pasang Ii","NEP","Sherpa","m","1993"
"Barnicott","UK","","m","1993"
"Hempleman-Adams","UK","","m","1993"
"Lhakpa Gelu I","NEP","Sherpa","m","1993"
"Nga Temba Ii","NEP","Sherpa","m","1993"
"Nobmann","USA","","m","1993"
"Tenzing I (Tenzen, Tenzi)","NEP","Sherpa","m","1993"
"Babu Chiri","NEP","Sherpa","m","1993"
"Tinker","UK","","m","1993"
"Goto","JAP","","m","1993"
"Nazuka","JAP","","m","1993"
"Ezuka","JAP","","m","1993"
"Tanabe","JAP","","m","1993"
"Hoshino","JAP","","m","1993"
"Ogata","JAP","","m","1993"
"Shih","TAI","","m","1994"
"Atsuta","JAP","","m","1994"
"Dawa Tshering Ii (Dawa Chhiri)","NEP","Sherpa","m","1994"
"Lhakpa Nuru I","NEP","Sherpa","m","1994"
"Nga Temba I (Ngatemba)","NEP","Sherpa","m","1994"
"Nima Dorje I (Dorje)","NEP","Sherpa","m","1994"
"Suzuki","JAP","","m","1994"
"Ang Dorje Ii (Chuldim Dorje)","NEP","Sherpa","m","1994"
"Gundelach","GER","","m","1994"
"Hall","NZ","","m","1994"
"Kagge","NOR","","m","1994"
"Keaton","USA","","m","1994"
"Nima Gombu (Gombu)","NEP","Sherpa","m","1994"
"Norbu (Nurbu, Nuru)","NEP","Sherpa","m","1994"
"Seitzl","GER","","m","1994"
"Taylor","USA","","m","1994"
"Viesturs","USA","","m","1994"
"Wendel","USA","","m","1994"
"Bishop","USA","","m","1994"
"Fischer","USA","","m","1994"
"Hess","USA","","m","1994"
"Lobsang Jangbu","NEP","Sherpa","m","1994"
"Sonam Dendu (Sona Dendu)","NEP","Sherpa","m","1994"
"Goryl","USA","","m","1994"
"Athans","USA","","m","1994"
"Burleson","USA","","m","1994"
"Cedergreen","USA","","m","1994"
"Chuwang Nima (Chhewang Nima)","NEP","Sherpa","m","1994"
"Dorje I","NEP","Sherpa","m","1994"
"Kami Rita I (Topke)","NEP","Sherpa","m","1994"
